category,title,url,why_good,smm_idea,brandbook_idea,visual_idea,ux_idea,adaptation_for_dimkoff,usefulness_score
"brandbook","Spotify Design & Branding Guidelines","https://developer.spotify.com/documentation/design","Flexible identity tied to product culture","Build reusable campaign templates","Show applications not only rules","Bold accent color and modular imagery","Scannable asset system","Use flexible social templates without copying duotone",9
"brandbook","Uber Brand","https://brand.uber.com/","Disciplined foundations for a global brand","Keep channel expression consistent","Define a neutral core and applications","Black and white base","Clear specimen navigation","Adopt rigor but add a warmer human layer",8
"brandbook","Slack Brand Center","https://slack.com/media-kit","Friendly assets with practical access","Make social assets easy to reuse","Create a compact asset hub","Controlled multi-color accents","Low-friction downloads","Use concise asset pages not the playful palette",8
"brandbook","Mailchimp Brand Assets","https://mailchimp.com/about/brand-assets/","Distinctive character explained with concrete rules","Develop a recognizable editorial voice","Add short do and do-not examples","Hero color with strong typography","Plain-language guidance","Adopt confident voice without a mascot",9
"brandbook","Dropbox Branding","https://www.dropbox.com/branding","Clear trademark and partnership scenarios","Set co-marketing rules","Document lockups and partner usage","Minimal asset previews","Scenario-based legal guidance","Use partnership rules in a small appendix",7
"brandbook","GitLab Pajamas Brand","https://design.gitlab.com/brand-introduction/","Brand and product system share one operational source","Connect content templates to UI tokens","Build living guidelines","Documentation-first visual system","Searchable examples","Use tokens and reusable templates at smaller scale",9
"brandbook","GitHub Brand Toolkit","https://brand.github.com/","Compact recognizable operational toolkit","Offer ready-to-use creator assets","Create a small external kit","High-contrast previews","Fast navigation and downloads","Use compact toolkit without a character mascot",9
"brandbook","Figma Brand Guidelines","https://www.figma.com/using-the-figma-brand/","Accessible rules for an external creator ecosystem","Clarify collaboration mentions","Define naming and co-brand use","Simple examples with recognisable mark","Context-based sections","Adapt co-marketing rules not rainbow styling",8
"brandbook","Discord Brand Guidelines","https://discord.com/branding","Visual identity directly reflects community product","Make community formats recognizable","Connect voice and visual character","Energetic illustrations","Clear asset access","Borrow community logic not gaming tone",8
"brandbook","Meta Brand Resources","https://about.meta.com/brand/resources/","Manages a portfolio of brands and contexts","Separate channel and product roles","Plan future sub-brand architecture","Neutral resource interface","Product-specific routes","Useful later for DimkoFF product architecture",7
"brandbook","IBM Design Language","https://www.ibm.com/design/language/","Philosophy expression and execution form one system","Connect communication to system thinking","Structure principles before assets","Grid type data and motion","Layered documentation","Primary model for system over decoration",10
"brandbook","Mozilla Protocol","https://protocol.mozilla.org/","Open code-ready brand guidance","Turn content rules into reusable patterns","Join brand and production","Accessible modular system","Examples and code patterns","Use living web guidelines at lean scope",9
"brandbook","Material Design 3","https://m3.material.io/","Robust foundations components and rationale","Define channel states and repeatability","Create tokens and behavior rules","Adaptive color type motion","Progressive disclosure","Use methodology without Android resemblance",9
"brandbook","Fluent 2","https://fluent2.microsoft.design/","Reusable foundations communicate product feeling","Set consistent content surface hierarchy","Document depth and states","Restrained layered surfaces","Platform-aware patterns","Use layering while avoiding office sterility",8
"brandbook","Adobe Spectrum","https://spectrum.adobe.com/","Scales across many professional products","Build reliable publishing states","Document professional UI states","Neutral precise components","Accessible state guidance","Reference for UI quality not enterprise volume",9
"brandbook","Atlassian Design System","https://atlassian.design/foundations","Content accessibility and visual foundations are integrated","Add voice and content standards","Document tokens and content together","Structured visual foundations","Searchable guideline IA","Adapt content rules and token logic",9
"brandbook","NASA Brand Center","https://www.nasa.gov/nasa-brand-center/","Iconic assets remain consistent across media","Protect recognizability in campaigns","Define lockup and clear space","Authoritative mark usage","Archive and asset access","Borrow discipline and avoid space clichés",8
"brandbook","Mastercard Brand Center","https://www.mastercard.com/brandcenter/us/en/home..html","Precise rules scale an iconic mark across payment contexts","Keep campaign marks consistent in digital use","Define mark variants and contrast rules","Strong red orange yellow identity","Scenario-based requirement navigation","Use digital mark discipline without payment-level complexity",9
"brandbook","OpenAI Design","https://openai.com/brand/","Balances intellectual restraint and human technology","Use mature non-hype AI language","Define imagery type and partnership contexts","Whitespace strong type subtle motion","Calm progressive reading","Adopt restraint without copying signature assets",9
"brandbook","GOV.UK Design System","https://design-system.service.gov.uk/","Trust comes from clarity and accessibility","Use plain language and clear errors","Make accessibility a brand rule","Functional high contrast","Robust predictable patterns","Apply clarity to forms and fallbacks with premium styling",8
"SMM/digital portfolio","Milk Karten — Rachel Karten","https://milkkarten.com/","One thesis and three easy-to-buy services","Package audit launch and custom work","Lead with a focused category","Editorial minimalism","Very short path to contact","Model service simplicity and add product proof",10
"SMM/digital portfolio","Matt Navarra","https://www.mattnavarra.com/","Strong category client proof testimonials and owned media","Build authority with recurring insights","Use a proof ladder","Early social proof","Deck capture and direct contact","Adapt proof structure using only real logos and metrics",9
"SMM/digital portfolio","Latasha James","https://www.latashajames.com/","Personal story and offers form a product ladder","Connect content education and services","Add a human founder layer","Warm editorial photography","Clear offer routes","Use human warmth with more tech-forward art direction",9
"SMM/digital portfolio","Pretty Little Marketer","https://www.prettylittlemarketer.com/","Community-first category and recognizable voice","Treat community as a content engine","Show an ecosystem of formats","Friendly social-native expression","Membership and resource routes","Borrow community thinking not playful styling",8
"SMM/digital portfolio","Mark Pollard","https://www.markpollard.net/","A memorable intellectual position drives the whole brand","Develop own strategic language","Build brand around a repeatable thesis","Personality-led typography","Direct paths to writing and work","Create Signal System Product IP without copying rhetoric",9
"SMM/digital portfolio","Ann Handley","https://annhandley.com/","The writing itself proves content expertise","Use newsletter and voice as evidence","Make personality part of authority","Human portrait and editorial copy","Strong newsletter conversion","Let content demonstrate method without becoming speaker-first",9
"SMM/digital portfolio","Strategy Finishing School","https://strategyfinishingschool.com/","A clear skill gap becomes a product and community","Turn frameworks into useful lead assets","Show method templates and outcomes","Offer-led educational layout","Repeated conversion points","Use framework-as-proof with less density",8
"SMM/digital portfolio","Katelyn Bourgoin — Why We Buy","https://customercamp.kit.com/profile","Owns a specific buyer-psychology territory","Publish repeatable customer research insights","Name and teach a proprietary method","Memorable verbal identity","Newsletter and product ladder","Use branded method while keeping broader hybrid category",9
"SMM/digital portfolio","Steph Smith","https://stephsmith.io/","Projects writing and career proof form a maker narrative","Build in public and repurpose learning","Create a visible project ecosystem","Simple personal index","Easy project exploration","Use project ecosystem with a stronger commercial route",9
"SMM/digital portfolio","Dave Gerhardt","https://davegerhardt.com/","Owned point of view and community create B2B authority","Publish operator notes and strong opinions","Use content as long-term proof","Content-first presentation","Fast article and community paths","Develop recurring operator notes without media-only positioning",8
"creative developer portfolio","Bruno Simon","https://bruno-simon.com/","The site itself proves 3D physics and creative craft","Turn demos into shareable content","Make the medium evidence","Playable real-time 3D world","Controls quality settings and exploration","Build an optional 3D flagship with an HTML route",10
"creative developer portfolio","Aristide Benoist","https://aristidebenoist.com/folio-v1","Motion and WebGL communicate specialization instantly","Use project reveals as campaign assets","Lead with curated selected work","Cinematic native WebGL","Art-directed transitions","Adapt case transitions and add outcomes and accessibility",9
"creative developer portfolio","Martin Laxenaire","https://www.martin-laxenaire.fr/","Clear specialization clients experiments and stack","Publish technical experiments consistently","Separate commercial work and lab","Clean interactive portfolio","Transparent project and technology labels","Model Demo Lab plus work while leading with value",9
"creative developer portfolio","Niccolò Miranda","https://www.niccolomiranda.com/","Distinct editorial metaphor proves design and development","Create a recognizable content container","Give the portfolio one ownable concept","Paper-like typography and motion","Horizontal exploratory navigation","Develop a unique signal metaphor not newspaper styling",10
"creative developer portfolio","Dennis Snellenberg","https://dennissnellenberg.com/work","Strong work index and clear role labels","Turn each project into a concise case post","Use status role and year metadata","Fluid clean transitions","Filterable archive","Adopt filters and add strategic context",9
"creative developer portfolio","Benjamin Simon","https://www.benjamin-simon.dev/","Names cinematic 3D specialization with confidence","Show technical craft in short fragments","Use expertise and recognition as secondary proof","System-like dark immersive UI","Direct project CTA","Borrow confidence but soften techno mood with SMM",8
"creative developer portfolio","Simon Bermudez","https://simonbermudez.com/","Clear WebGL niche testimonials and a text fallback","Explain experiments with customer use cases","Include fallback as a quality principle","Interactive WebGL with readable layer","Accessible alternative content","Use progressive enhancement for Signal Field",8
"creative developer portfolio","Hakim El Hattab","https://hakim.se/","Experiments and open source prove maker identity","Use runnable experiments as content","Let artifacts replace claims","Experiment-first visuals","Direct exploration","Build live Demo Lab and add commercial context",9
"creative developer portfolio","Brittany Chiang","https://brittanychiang.com/","Scannable developer story and accessible structure","Translate project work into concise proof","Use selected work experience and writing","Clean dark single page","Keyboard-friendly navigation","Use clarity for employer route with a more distinct brand",8
"creative developer portfolio","Josh W. Comeau","https://www.joshwcomeau.com/","Interactive explanations demonstrate technical communication","Teach marketing and product frameworks interactively","Make education part of authority","Playful micro-interactions","Readable progressive demos","Use interactive explanations without becoming a tutorial site",9
"agency website","AKQA","https://www.akqa.com/","Work and recognition establish global innovation authority","Package thought leadership around project lessons","Lead with selected impact stories","Cinematic editorial media","Work-first exploration","Use case-first authority without inflated scale claims",9
"agency website","Instrument","https://www.instrument.com/home","Brand product and marketing meet in one clear story","Connect campaign and product outcomes","Organize cases across the hybrid offer","Confident whitespace and media","Simple information architecture","Strong benchmark for DimkoFF hybrid case modules",9
"agency website","BASIC/DEPT","https://www.basicagency.com/","Culture and digital work create a memorable agency personality","Use culture and point of view in social content","Build confident work index","Bold type and editorial motion","Grid and list exploration","Borrow confidence but reduce agency swagger",9
"agency website","COLLINS","https://wearecollins.com/","Strategic transformations and awards create premium authority","Show brand worlds through campaign applications","Give flagship cases their own art direction","Typography-led storytelling","Distinct case experiences","Use case-level visual variation and state personal role",10
"agency website","PORTO ROCHA","https://www.portorocha.com/","Living cultural work index feels specific and current","Treat motion and news as ongoing content","Create a dynamic but consistent archive","Motion as identity","Dense navigable work index","Use motion system at smaller portfolio scale",10
"agency website","Pentagram","https://www.pentagram.com/","Deep archive and partner authorship clarify expertise","Turn disciplines into discoverable content","Credit individual role in every case","Visual archive density","Filters by discipline and client","Adopt personal-role metadata not archive scale",9
"agency website","BUCK","https://buck.co/","Moving-image proof connects art design and technology","Use a short reel to distribute case moments","Open with proof not capability lists","Playful premium motion","Rich media exploration","Create a light reel that never blocks mobile",9
"agency website","Clay","https://clay.global/","End-to-end brand product web and development offer is clear","Explain full-system service by outcomes","Package cross-disciplinary capabilities","Premium cards 3D and dark surfaces","Clear CTA FAQ and case paths","Close model for DimkoFF while avoiding generic claims",9
"agency website","Work & Co","https://work.co/work","Quiet confidence and product principles sell complex work","Publish working principles as content","Use principles alongside outcomes","Minimal product-led visuals","Direct work index","Create personal product principles with smaller proof",9
"agency website","Locomotive","https://locomotive.ca/","Studio personality and interactive craft are inseparable","Turn interactions into social snippets","Make the site a craft proof","Expressive transitions","Immersive project navigation","Use as optional interactive layer with faster core content",9
"AI/SaaS landing","Linear","https://linear.app/","Product quality is visible in language motion and UI proof","Use precise benefit-led launch content","Make every visual support a product claim","Restrained premium dark UI","Progressive disclosure","Primary visual benchmark without copying space-purple cues",10
"AI/SaaS landing","Notion","https://www.notion.com/","Many capabilities remain understandable through role routes","Segment content by audience and use case","Create client and employer routes","Approachable modular product visuals","Audience-led navigation","Use dual routes and keep category focused",9
"AI/SaaS landing","Vercel","https://vercel.com/","Fast product experience proves performance promise","Show technical proof in content","Use interface as evidence","Monochrome grid and crisp type","Interactive product demos","Use black-white foundation without visual imitation",9
"AI/SaaS landing","Framer","https://www.framer.com/","Visitors see and try the result immediately","Lead campaign pages with a useful demo","Place proof before long explanation","Vivid motion and product canvases","Low-friction creation CTA","Add micro-demo and control animation density",9
"AI/SaaS landing","Raycast","https://www.raycast.com/","Speed personality and extensibility are immediately clear","Use command-like recurring content formats","Make a focused product language","Premium dark UI","Keyboard-first demos","Use concise labels while retaining human warmth",9
"AI/SaaS landing","Perplexity","https://www.perplexity.ai/","The product action starts with almost no barrier","Offer a useful first diagnostic action","Let result demonstrate value","Minimal prompt-first surface","Immediate interaction","Use a small useful CTA plus clear service context",8
"AI/SaaS landing","Anthropic","https://www.anthropic.com/","Mission research and product create mature AI trust","Publish responsible AI operator notes","Include limits and principles","Warm restrained editorial design","Separate research product and learning paths","Adopt mature non-hype tone without borrowed authority",9
"AI/SaaS landing","ElevenLabs","https://elevenlabs.io/","Audio demos make the value tangible","Turn AI output into short demo content","Use live product proof","Media-first polished interface","Immediate demo and use-case routes","Add safe micro-demos with consent and privacy",9
"AI/SaaS landing","Lovable","https://lovable.dev/","Idea-to-app promise is simple and action oriented","Use build challenges and outcomes as content","Write one clear transformation","Friendly modern gradients","Low-friction start","Use easy first step without unrealistic speed claims",8
"AI/SaaS landing","Midjourney","https://www.midjourney.com/","The output gallery is the primary proof","Curate community or demo output as distribution","Let artifacts carry authority","Image-first immersion","Exploration through results","Create Demo Lab wall with an explicit service route",8
"3D/interactive website","Active Theory","https://activetheory.net/","Boundary-pushing work directly proves the studio","Distribute immersive case moments","Use flagship experience as authority","Real-time cinematic 3D","Experiential storytelling","Benchmark for optional Demo Lab not the fast client route",10
"3D/interactive website","Dogstudio","https://dogstudio.co/","Playful studio world expresses culture and craft","Use devlogs and playful behind-the-scenes","Add personality to experimentation","Game-like 3D character","Discovery and world navigation","Borrow build logs with calmer brand tone",9
"3D/interactive website","Immersive Garden","https://immersive-g.com/","Luxury client work and sensorial presentation create authority","Turn projects into emotional visual narratives","Use premium case art direction","Cinematic imagery and controlled motion","Project-led journey","Adapt premium storytelling with lighter production",10
"3D/interactive website","Lusion","https://lusion.co/","3D capability is visible before the capability list","Publish R&D experiments as content","Separate work services and labs","Responsive real-time 3D","Immersive but structured navigation","Benchmark Signal Field with lazy static fallback",10
"3D/interactive website","Resn","https://resn.co.nz/","Memorable weirdness creates differentiation","Use one ownable interaction signature","Allow experimentation inside a stable brand","Surreal interactive worlds","Sound and discovery","Take signature interaction without business ambiguity",9
"3D/interactive website","makemepulse","https://makemepulse.com/","Experimental storytelling builds long-term creative reputation","Release one annual flagship experiment","Make self-initiated work a brand asset","Poetic WebGL scenes","Narrative motion","Use recurring flagship experiment plus detailed cases",9
"3D/interactive website","Akaru","https://akaru.fr/","Compact expressive studio identity supports curated work","Share project motion as short-form assets","Use a concise work index","Bold type and playful transitions","Fast project archive","Adapt archive structure with a more personal voice",8
"3D/interactive website","monopo London","https://monopo.london/","Global creative perspective appears in a contemporary experience","Connect culture content and work","Show team or collaborator ecosystem","Vibrant modular motion","Flexible storytelling modules","Use cultural energy within stricter tokens",8
"3D/interactive website","Hello Monday","https://www.hellomonday.com/","Each project becomes a distinctive digital story","Create campaign-specific case snippets","Give flagship cases their own world","Detailed playful art direction","Project-led interactions","Use case variation inside a consistent shell",9
"3D/interactive website","Zajno","https://zajno.com/","Strategy design development and motion form a commercial whole","Use polished breakdowns as distribution assets","Tell end-to-end project stories","Premium dark 3D and motion","Rich cases with direct CTA","Close benchmark while avoiding generic award-site styling",9
